build,computer.platform,date,time,subject,group,blockcode,blocknum,trialcode,trialnum,expressions.trialcount,parameters.digitpresentationtime,parameters.maskpresentationtime,values.trialtype,values.digit,values.fontsize,response,correct,values.RT,latency,values.latencytype,values.responsetype,values.count_anticipatory,values.correctsuppressions,values.count_NoGo,values.incorrectsuppressions,values.count_Go,values.count_validGo,values.dostim,values.amp,values.order
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,1,1,25,90,go,1,19ptc,space,1,957,957,3,Go Success,0,0,0,0,1,1,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,2,2,25,90,go,4,16ptc,space,1,956,956,3,Go Success,0,0,0,0,2,2,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,3,3,25,90,go,8,13ptc,space,1,958,958,3,Go Success,0,0,0,0,3,3,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,4,4,25,90,go,2,21ptc,space,0,171,171,2,Go Ambiguous,0,0,0,0,4,3,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,5,5,25,90,go,4,10ptc,space,1,956,956,3,Go Success,0,0,0,0,5,4,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,6,6,25,90,go,6,10ptc,space,0,183,183,2,Go Ambiguous,0,0,0,0,6,4,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,7,7,25,90,go,7,16ptc,space,0,180,180,2,Go Ambiguous,0,0,0,0,7,4,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,8,8,25,90,go,8,13ptc,0,0,0,0,0,Omission,0,0,0,1,8,4,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,9,9,25,90,go,4,21ptc,space,0,79,79,1,Go Anticipatory,1,0,0,1,9,4,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,10,10,25,90,go,7,19ptc,space,1,956,956,3,Go Success,1,0,0,1,10,5,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,11,11,25,90,go,6,21ptc,space,1,955,955,3,Go Success,1,0,0,1,11,6,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,12,12,25,90,go,7,19ptc,space,1,957,957,3,Go Success,1,0,0,1,12,7,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,13,13,25,90,go,4,16ptc,space,1,956,956,3,Go Success,1,0,0,1,13,8,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,14,14,25,90,go,6,10ptc,0,0,0,0,0,Omission,1,0,0,2,14,8,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,15,15,25,90,go,1,13ptc,0,0,0,0,0,Omission,1,0,0,3,15,8,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,16,16,25,90,go,7,21ptc,space,0,54,54,1,Go Anticipatory,2,0,0,3,16,8,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,nogo,17,17,25,90,nogo,3,16ptc,space,0,956,956,3,NoGo Failure,2,0,1,3,16,8,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,18,18,25,90,go,1,10ptc,space,1,956,956,3,Go Success,2,0,1,3,17,9,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,19,19,25,90,go,6,19ptc,space,1,955,955,3,Go Success,2,0,1,3,18,10,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,20,20,25,90,go,5,13ptc,space,1,955,955,3,Go Success,2,0,1,3,19,11,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,21,21,25,90,go,1,13ptc,0,0,0,0,0,Omission,2,0,1,4,20,11,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,22,22,25,90,go,7,10ptc,space,1,954,954,3,Go Success,2,0,1,4,21,12,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,nogo,23,23,25,90,nogo,3,16ptc,space,0,956,956,3,NoGo Failure,2,0,2,4,21,12,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,nogo,24,24,25,90,nogo,3,19ptc,space,0,955,955,3,NoGo Failure,2,0,3,4,21,12,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,25,25,25,90,go,9,21ptc,space,1,957,957,3,Go Success,2,0,3,4,22,13,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,26,26,25,90,go,6,13ptc,space,1,957,957,3,Go Success,2,0,3,4,23,14,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,27,27,25,90,go,5,16ptc,space,1,955,955,3,Go Success,2,0,3,4,24,15,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,28,28,25,90,go,2,21ptc,space,1,956,956,3,Go Success,2,0,3,4,25,16,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,29,29,25,90,go,9,19ptc,space,1,955,955,3,Go Success,2,0,3,4,26,17,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,30,30,25,90,go,4,10ptc,space,1,956,956,3,Go Success,2,0,3,4,27,18,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,31,31,25,90,go,4,21ptc,space,1,954,954,3,Go Success,2,0,3,4,28,19,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,32,32,25,90,go,8,10ptc,space,1,955,955,3,Go Success,2,0,3,4,29,20,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,nogo,33,33,25,90,nogo,3,13ptc,0,1,0,0,0,NoGo Success,2,1,4,4,29,20,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,34,34,25,90,go,9,16ptc,space,1,955,955,3,Go Success,2,1,4,4,30,21,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,35,35,25,90,go,5,19ptc,space,1,956,956,3,Go Success,2,1,4,4,31,22,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,36,36,25,90,go,9,16ptc,space,1,956,956,3,Go Success,2,1,4,4,32,23,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,nogo,37,37,25,90,nogo,3,10ptc,space,0,956,956,3,NoGo Failure,2,1,5,4,32,23,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,38,38,25,90,go,6,19ptc,space,1,956,956,3,Go Success,2,1,5,4,33,24,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,39,39,25,90,go,4,21ptc,space,1,957,957,3,Go Success,2,1,5,4,34,25,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,40,40,25,90,go,6,13ptc,0,0,0,0,0,Omission,2,1,5,5,35,25,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,41,41,25,90,go,9,19ptc,0,0,0,0,0,Omission,2,1,5,6,36,25,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,42,42,25,90,go,5,16ptc,0,0,0,0,0,Omission,2,1,5,7,37,25,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,43,43,25,90,go,1,10ptc,space,1,955,955,3,Go Success,2,1,5,7,38,26,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,44,44,25,90,go,1,13ptc,space,1,956,956,3,Go Success,2,1,5,7,39,27,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,45,45,25,90,go,1,21ptc,space,1,956,956,3,Go Success,2,1,5,7,40,28,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,46,46,25,90,go,2,21ptc,space,1,955,955,3,Go Success,2,1,5,7,41,29,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,47,47,25,90,go,8,16ptc,0,0,0,0,0,Omission,2,1,5,8,42,29,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,nogo,48,48,25,90,nogo,3,10ptc,0,1,0,0,0,NoGo Success,2,2,6,8,42,29,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,49,49,25,90,go,5,13ptc,0,0,0,0,0,Omission,2,2,6,9,43,29,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,50,50,25,90,go,2,19ptc,0,0,0,0,0,Omission,2,2,6,10,44,29,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,51,51,25,90,go,7,13ptc,0,0,0,0,0,Omission,2,2,6,11,45,29,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,52,52,25,90,go,2,16ptc,0,0,0,0,0,Omission,2,2,6,12,46,29,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,53,53,25,90,go,9,10ptc,0,0,0,0,0,Omission,2,2,6,13,47,29,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,54,54,25,90,go,7,19ptc,0,0,0,0,0,Omission,2,2,6,14,48,29,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,55,55,25,90,go,7,21ptc,0,0,0,0,0,Omission,2,2,6,15,49,29,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,56,56,25,90,go,9,19ptc,0,0,0,0,0,Omission,2,2,6,16,50,29,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,nogo,57,57,25,90,nogo,3,13ptc,0,1,0,0,0,NoGo Success,2,3,7,16,50,29,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,58,58,25,90,go,9,10ptc,0,0,0,0,0,Omission,2,3,7,17,51,29,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,nogo,59,59,25,90,nogo,3,21ptc,0,1,0,0,0,NoGo Success,2,4,8,17,51,29,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,60,60,25,90,go,2,16ptc,0,0,0,0,0,Omission,2,4,8,18,52,29,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,61,61,25,90,go,4,13ptc,0,0,0,0,0,Omission,2,4,8,19,53,29,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,62,62,25,90,go,9,19ptc,0,0,0,0,0,Omission,2,4,8,20,54,29,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,63,63,25,90,go,9,16ptc,0,0,0,0,0,Omission,2,4,8,21,55,29,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,64,64,25,90,go,2,21ptc,0,0,0,0,0,Omission,2,4,8,22,56,29,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,65,65,25,90,go,5,10ptc,0,0,0,0,0,Omission,2,4,8,23,57,29,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,66,66,25,90,go,8,13ptc,0,0,0,0,0,Omission,2,4,8,24,58,29,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,67,67,25,90,go,6,21ptc,0,0,0,0,0,Omission,2,4,8,25,59,29,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,68,68,25,90,go,6,16ptc,0,0,0,0,0,Omission,2,4,8,26,60,29,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,69,69,25,90,go,7,19ptc,0,0,0,0,0,Omission,2,4,8,27,61,29,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,70,70,25,90,go,9,10ptc,0,0,0,0,0,Omission,2,4,8,28,62,29,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,71,71,25,90,go,2,10ptc,0,0,0,0,0,Omission,2,4,8,29,63,29,0.0,1,AABB
