build,computer.platform,date,time,subject,group,blockcode,blocknum,trialcode,trialnum,expressions.trialcount,parameters.digitpresentationtime,parameters.maskpresentationtime,values.trialtype,values.digit,values.fontsize,response,correct,values.RT,latency,values.latencytype,values.responsetype,values.count_anticipatory,values.correctsuppressions,values.count_NoGo,values.incorrectsuppressions,values.count_Go,values.count_validGo,values.dostim,values.amp,values.order
3.8.10,Windows,11122,15:7:26,99999998,testrun,practice,0,practice_go,1,1,25,90,practice_go,6,0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc,space,1,957,957,3,Go Success,0,0,0,0,0,0,0,0,0
3.8.10,Windows,11122,15:7:26,99999998,testrun,practice,0,practice_go,2,2,25,90,practice_go,4,0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc,space,1,955,955,3,Go Success,0,0,0,0,0,0,0,0,0
3.8.10,Windows,11122,15:7:26,99999998,testrun,practice,0,practice_go,3,3,25,90,practice_go,4,0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc,space,1,956,956,3,Go Success,0,0,0,0,0,0,0,0,0
3.8.10,Windows,11122,15:7:26,99999998,testrun,practice,0,practice_go,4,4,25,90,practice_go,9,0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc,space,1,956,956,3,Go Success,0,0,0,0,0,0,0,0,0
3.8.10,Windows,11122,15:7:26,99999998,testrun,practice,0,practice_go,5,5,25,90,practice_go,1,0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc,space,1,957,957,3,Go Success,0,0,0,0,0,0,0,0,0
3.8.10,Windows,11122,15:7:26,99999998,testrun,practice,0,practice_go,6,6,25,90,practice_go,5,0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc,space,1,962,962,3,Go Success,0,0,0,0,0,0,0,0,0
3.8.10,Windows,11122,15:7:26,99999998,testrun,practice,0,practice_go,7,7,25,90,practice_go,9,0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc,space,1,956,956,3,Go Success,0,0,0,0,0,0,0,0,0
3.8.10,Windows,11122,15:7:26,99999998,testrun,practice,0,practice_go,8,8,25,90,practice_go,1,0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc,space,1,957,957,3,Go Success,0,0,0,0,0,0,0,0,0
3.8.10,Windows,11122,15:7:26,99999998,testrun,practice,0,practice_go,9,9,25,90,practice_go,5,0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc,space,1,957,957,3,Go Success,0,0,0,0,0,0,0,0,0
3.8.10,Windows,11122,15:7:26,99999998,testrun,practice,0,practice_go,10,10,25,90,practice_go,8,0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc,space,1,955,955,3,Go Success,0,0,0,0,0,0,0,0,0
